Latitude,Longitude,Elevation
5.104230000,-60.8576200,1199.0
5.104130000,-60.8578000,1202.0
5.104000000,-60.8579100,1202.0
5.103170000,-60.8583400,1208.0
5.102670000,-60.8585600,1212.0
5.102390000,-60.8586400,1214.0
5.102030000,-60.8587100,1215.0
5.100460000,-60.8589000,1228.0
5.099890000,-60.8590400,1234.0
5.099700000,-60.8592100,1233.0
5.099410000,-60.8595100,1232.0
5.099010000,-60.8597700,1233.0
5.098740000,-60.8599900,1235.0
5.098440000,-60.8602800,1238.0
5.098100000,-60.8605700,1242.0
5.097920000,-60.8606900,1244.0
5.097530000,-60.8609800,1249.0
5.096710000,-60.8615100,1256.0
5.096520000,-60.8616800,1257.0
5.096350000,-60.8618900,1258.0
5.096120000,-60.8621200,1259.0
5.095840000,-60.8623300,1261.0
5.095730000,-60.8624000,1262.0
5.095350000,-60.8625700,1263.0
5.094920000,-60.8626600,1265.0
5.094540000,-60.8628700,1268.0
5.094450000,-60.8629600,1269.0
5.094370000,-60.8630700,1270.0
5.094320000,-60.8631700,1270.0
5.094270000,-60.8634500,1268.0
5.094110000,-60.8638600,1264.0
5.094030000,-60.8640000,1263.0
5.093870000,-60.8641800,1262.0
5.093510000,-60.8645400,1262.0
5.093220000,-60.8648400,1264.0
5.092600000,-60.8656000,1270.0
5.092480000,-60.8656800,1270.0
5.091880000,-60.8660100,1270.0
5.091730000,-60.8661600,1269.0
5.091660000,-60.8663200,1270.0
5.091620000,-60.8665200,1272.0
5.091510000,-60.8670100,1275.0
5.091350000,-60.8672700,1276.0
5.091120000,-60.8675400,1275.0
5.090840000,-60.8677800,1278.0
5.090650000,-60.8679400,1281.0
5.090400000,-60.8682200,1283.0
5.090170000,-60.8684800,1284.0
5.089920000,-60.8687200,1285.0
5.089690000,-60.8689200,1284.0
5.089340000,-60.8692700,1278.0
5.089070000,-60.8694900,1277.0
5.088660000,-60.8699200,1281.0
5.088570000,-60.8700400,1281.0
5.088260000,-60.8706200,1283.0
5.087990000,-60.8712400,1283.0
5.087250000,-60.8727100,1286.0
5.087070000,-60.8729900,1288.0
5.086870000,-60.8732400,1288.0
5.086770000,-60.8733300,1288.0
5.086500000,-60.8735000,1287.0
5.085850000,-60.8739500,1290.0
5.084350000,-60.8750200,1298.0
5.083640000,-60.8754900,1312.0
5.083460000,-60.8756800,1309.0
5.083140000,-60.8759100,1303.0
5.082890000,-60.8761100,1300.0
5.081730000,-60.8771900,1294.0
5.081500000,-60.8773800,1296.0
5.080950000,-60.8778800,1293.0
5.080750000,-60.8781100,1288.0
5.080610000,-60.8783000,1287.0
5.080240000,-60.8788500,1282.0
5.080040000,-60.8790900,1283.0
5.079790000,-60.8794200,1284.0
5.079290000,-60.8799700,1283.0
5.079230000,-60.8800200,1283.0
5.079180000,-60.8800200,1283.0
5.079100000,-60.8799700,1282.0
5.079010000,-60.8800400,1283.0
5.078770000,-60.8800800,1284.0
5.078670000,-60.8801100,1286.0
5.078590000,-60.8801500,1287.0
5.078320000,-60.8804000,1292.0
5.077950000,-60.8808700,1298.0
5.076970000,-60.8819300,1299.0
5.076430000,-60.8826300,1308.0
5.076130000,-60.8831000,1312.0
5.075970000,-60.8833200,1310.0
5.075640000,-60.8837300,1306.0
5.075180000,-60.8843500,1305.0
5.074270000,-60.8856600,1303.0
5.073330000,-60.8870700,1304.0
5.072930000,-60.8875300,1301.0
5.072660000,-60.8877300,1299.0
5.072390000,-60.8879000,1297.0
5.072130000,-60.8880000,1298.0
5.071940000,-60.8880300,1299.0
5.071850000,-60.8880800,1299.0
5.071760000,-60.8881600,1299.0
5.071710000,-60.8882400,1299.0
5.071580000,-60.8884500,1300.0
5.071500000,-60.8885900,1301.0
5.071380000,-60.8888300,1301.0
5.071130000,-60.8892300,1299.0
5.070910000,-60.8895300,1298.0
5.070810000,-60.8897100,1297.0
5.070470000,-60.8900400,1297.0
5.069510000,-60.8911600,1300.0
5.069350000,-60.8914400,1301.0
5.068980000,-60.8919500,1301.0
5.068740000,-60.8923100,1302.0
5.068490000,-60.8926700,1305.0
5.068300000,-60.8930100,1307.0
5.068170000,-60.8933500,1305.0
5.068140000,-60.8935000,1304.0
5.068140000,-60.8939900,1308.0
5.067940000,-60.8950600,1308.0
5.067850000,-60.8955000,1307.0
5.067800000,-60.8956000,1307.0
5.067560000,-60.8959300,1306.0
5.067270000,-60.8962900,1306.0
5.067170000,-60.8964000,1306.0
5.066920000,-60.8966100,1305.0
5.066850000,-60.8967000,1305.0
5.066630000,-60.8970600,1307.0
5.066550000,-60.8971500,1306.0
5.066450000,-60.8972900,1306.0
5.066220000,-60.8975600,1308.0
5.065570000,-60.8981900,1307.0
5.065110000,-60.8985800,1311.0
5.064780000,-60.8988900,1310.0
5.064720000,-60.8989400,1310.0
5.064440000,-60.8991000,1311.0
5.064330000,-60.8991900,1311.0
5.064160000,-60.8993700,1310.0
5.063750000,-60.8998600,1314.0
5.061990000,-60.9016200,1321.0
5.061810000,-60.9018400,1323.0
5.061410000,-60.9024500,1325.0
5.061360000,-60.9025300,1326.0
5.061170000,-60.9030100,1327.0
5.061050000,-60.9032500,1327.0
5.060730000,-60.9037500,1323.0
5.060500000,-60.9040000,1323.0
5.059810000,-60.9048600,1322.0
5.059150000,-60.9055800,1323.0
5.058670000,-60.9062300,1326.0
5.058410000,-60.9065400,1326.0
5.058060000,-60.9068700,1326.0
5.057830000,-60.9071400,1327.0
5.057680000,-60.9073000,1328.0
5.057290000,-60.9076500,1332.0
5.057050000,-60.9079800,1335.0
5.056820000,-60.9082200,1333.0
5.056700000,-60.9083300,1332.0
5.056080000,-60.9087600,1329.0
5.055930000,-60.9089200,1331.0
5.055850000,-60.9089800,1332.0
5.055710000,-60.9090500,1333.0
5.055440000,-60.9092400,1334.0
5.055140000,-60.9094900,1335.0
5.055020000,-60.9096100,1335.0
5.054820000,-60.9098600,1334.0
5.054620000,-60.9101700,1336.0
5.054320000,-60.9105300,1338.0
5.053790000,-60.9109600,1338.0
5.053420000,-60.9113200,1336.0
5.053180000,-60.9115100,1336.0
5.052220000,-60.9122100,1337.0
5.051900000,-60.9125000,1338.0
5.051810000,-60.9126500,1338.0
5.051730000,-60.9127500,1339.0
5.051640000,-60.9128400,1339.0
5.051310000,-60.9131000,1341.0
5.051160000,-60.9132500,1339.0
5.051010000,-60.9133000,1338.0
5.050790000,-60.9133200,1336.0
5.050610000,-60.9133900,1335.0
5.050520000,-60.9134300,1334.0
5.050120000,-60.9137400,1332.0
5.050070000,-60.9138200,1331.0
5.050050000,-60.9138900,1331.0
5.049980000,-60.9142000,1326.0
5.049890000,-60.9145400,1316.0
5.049650000,-60.9147400,1310.0
5.049590000,-60.9148700,1306.0
5.049510000,-60.9151700,1296.0
5.049440000,-60.9153100,1292.0
5.049320000,-60.9154800,1288.0
5.049290000,-60.9156600,1282.0
5.049240000,-60.9158000,1277.0
5.049160000,-60.9158800,1274.0
5.049150000,-60.9159800,1272.0
5.049130000,-60.9161300,1268.0
5.049130000,-60.9163500,1263.0
5.049230000,-60.9166100,1259.0
5.049250000,-60.9167000,1258.0
5.049240000,-60.9170200,1251.0
5.049220000,-60.9172100,1251.0
5.048920000,-60.9174400,1250.0
5.048590000,-60.9177700,1248.0
5.048100000,-60.9180300,1249.0
5.047590000,-60.9183900,1248.0
5.047500000,-60.9184500,1248.0
5.047380000,-60.9184900,1248.0
5.047210000,-60.9185100,1247.0
5.047100000,-60.9185300,1248.0
5.047050000,-60.9185900,1247.0
5.046970000,-60.9187600,1248.0
5.046880000,-60.9188900,1249.0
5.046820000,-60.9190300,1250.0
5.046850000,-60.9191400,1250.0
5.046920000,-60.9194200,1251.0
5.046940000,-60.9196700,1250.0
5.046940000,-60.9199600,1248.0
5.046880000,-60.9204700,1247.0
5.046890000,-60.9205800,1245.0
5.046920000,-60.9208400,1240.0
5.046950000,-60.9209300,1240.0
5.047020000,-60.9210100,1240.0
5.047150000,-60.9211200,1239.0
5.047390000,-60.9213200,1238.0
5.048010000,-60.9217100,1234.0
5.048120000,-60.9218100,1233.0
5.048380000,-60.9221200,1232.0
5.048720000,-60.9225700,1226.0
5.048940000,-60.9228000,1226.0
5.049070000,-60.9229800,1223.0
5.049380000,-60.9240100,1211.0
5.049510000,-60.9241000,1212.0
5.049620000,-60.9243300,1215.0
5.049910000,-60.9249600,1231.0
5.049820000,-60.9257900,1242.0
5.050430000,-60.9265600,1253.0
5.050850000,-60.9268800,1259.0
5.051080000,-60.9275200,1261.0
5.051170000,-60.9276600,1262.0
5.051260000,-60.9277600,1263.0
5.051440000,-60.9279500,1267.0
5.051670000,-60.9283900,1273.0
5.051710000,-60.9286000,1274.0
5.051730000,-60.9289800,1280.0
5.051780000,-60.9292500,1282.0
5.051800000,-60.9296100,1286.0
5.051800000,-60.9298100,1287.0
5.051780000,-60.9305300,1286.0
5.052140000,-60.9313400,1289.0
5.052390000,-60.9315900,1288.0
5.052890000,-60.9319900,1291.0
5.053110000,-60.9322100,1290.0
5.053930000,-60.9327200,1287.0
5.054130000,-60.9327500,1286.0
5.054270000,-60.9327200,1285.0
5.054330000,-60.9327300,1284.0
5.054420000,-60.9327600,1284.0
5.054650000,-60.9328600,1285.0
5.054790000,-60.9329600,1285.0
5.054920000,-60.9330900,1284.0
5.055310000,-60.9337300,1288.0
5.055540000,-60.9340400,1293.0
5.055660000,-60.9341700,1293.0
5.055690000,-60.9342100,1292.0
5.055750000,-60.9342500,1291.0
5.055910000,-60.9343100,1289.0
5.056100000,-60.9343400,1286.0
5.056170000,-60.9343700,1286.0
