Latitude,Longitude,Elevation
4.604760000,-74.0555000,3161.0
4.604870000,-74.0555000,3163.0
4.604940000,-74.0555000,3164.0
4.605030000,-74.0555000,3166.0
4.605120000,-74.0555000,3167.0
4.605180000,-74.0555800,3166.0
4.605220000,-74.0556500,3164.0
4.605240000,-74.0556800,3163.0
4.605340000,-74.0556900,3162.0
4.605420000,-74.0557300,3160.0
4.605510000,-74.0557800,3157.0
4.605590000,-74.0557800,3156.0
4.605650000,-74.0557600,3156.0
4.605720000,-74.0557500,3155.0
4.605780000,-74.0557400,3155.0
4.605830000,-74.0557500,3154.0
4.605920000,-74.0557900,3150.0
4.605940000,-74.0558100,3149.0
4.605980000,-74.0558900,3143.0
4.605990000,-74.0559000,3142.0
4.606040000,-74.0559600,3138.0
4.606090000,-74.0559700,3137.0
4.606140000,-74.0559600,3138.0
4.606210000,-74.0559200,3141.0
4.606370000,-74.0557800,3148.0
4.606470000,-74.0557700,3150.0
4.606540000,-74.0557700,3151.0
4.606610000,-74.0557400,3153.0
4.606670000,-74.0556700,3155.0
4.606760000,-74.0556300,3157.0
4.606840000,-74.0555800,3159.0
4.606930000,-74.0556500,3158.0
4.606960000,-74.0557200,3155.0
4.606980000,-74.0558000,3151.0
4.606990000,-74.0558500,3148.0
4.607010000,-74.0559300,3138.0
4.607010000,-74.0559700,3134.0
4.607020000,-74.0559900,3131.0
4.607060000,-74.0560100,3128.0
4.607100000,-74.0560400,3124.0
4.607140000,-74.0560500,3121.0
4.607190000,-74.0560600,3119.0
4.607220000,-74.0561000,3114.0
4.607270000,-74.0561800,3109.0
4.607340000,-74.0562400,3109.0
4.607450000,-74.0562700,3112.0
4.607640000,-74.0562500,3110.0
4.607740000,-74.0562300,3111.0
4.607820000,-74.0561900,3113.0
4.607890000,-74.0561600,3110.0
4.607930000,-74.0561200,3110.0
4.607960000,-74.0560800,3110.0
4.607980000,-74.0560000,3120.0
4.608010000,-74.0559600,3122.0
4.608160000,-74.0559200,3116.0
4.608240000,-74.0559100,3112.0
4.608370000,-74.0558400,3110.0
4.608520000,-74.0557800,3106.0
4.608830000,-74.0556800,3088.0
4.608910000,-74.0556400,3084.0
4.609090000,-74.0555500,3081.0
4.609380000,-74.0553800,3076.0
4.609470000,-74.0553400,3076.0
4.609550000,-74.0552700,3080.0
4.609610000,-74.0551700,3081.0
4.609690000,-74.0551500,3080.0
4.609750000,-74.0551400,3079.0
4.609810000,-74.0551500,3077.0
4.609860000,-74.0551800,3075.0
4.609900000,-74.0551900,3073.0
4.609970000,-74.0552100,3070.0
4.610020000,-74.0552200,3068.0
4.610080000,-74.0552000,3065.0
4.610120000,-74.0551600,3063.0
4.610120000,-74.0551000,3065.0
4.610120000,-74.0550400,3066.0
4.610110000,-74.0550000,3068.0
4.610130000,-74.0549600,3067.0
4.610150000,-74.0549600,3066.0
4.610190000,-74.0550000,3065.0
4.610290000,-74.0551800,3052.0
4.610330000,-74.0552400,3044.0
4.610330000,-74.0552800,3042.0
4.610280000,-74.0553400,3047.0
4.610070000,-74.0554700,3059.0
4.609960000,-74.0555500,3063.0
4.609930000,-74.0556200,3057.0
4.609880000,-74.0557900,3041.0
4.609890000,-74.0559000,3027.0
4.609890000,-74.0559300,3022.0
4.609890000,-74.0559500,3020.0
4.609860000,-74.0560200,3010.0
4.609880000,-74.0560500,3005.0
4.609900000,-74.0560600,3003.0
4.609910000,-74.0560500,3004.0
4.609930000,-74.0560200,3008.0
4.609960000,-74.0560000,3011.0
4.609990000,-74.0560100,3009.0
4.610000000,-74.0560500,3002.0
4.610000000,-74.0561200,2993.0
4.609970000,-74.0562000,2988.0
4.609960000,-74.0562400,2985.0
4.609980000,-74.0562900,2980.0
4.609990000,-74.0563200,2978.0
4.610010000,-74.0563400,2976.0
4.610050000,-74.0563400,2975.0
4.610100000,-74.0563000,2978.0
4.610120000,-74.0563000,2977.0
4.610140000,-74.0563200,2976.0
4.610130000,-74.0563500,2974.0
4.610110000,-74.0564000,2972.0
4.610110000,-74.0564300,2971.0
4.610130000,-74.0564400,2970.0
4.610170000,-74.0564100,2971.0
4.610190000,-74.0564300,2970.0
4.610190000,-74.0564400,2970.0
4.610160000,-74.0565000,2969.0
4.610170000,-74.0565100,2969.0
4.610190000,-74.0565100,2968.0
4.610220000,-74.0565000,2968.0
4.610300000,-74.0564400,2969.0
4.610330000,-74.0564400,2968.0
4.610340000,-74.0564700,2967.0
4.610350000,-74.0565500,2965.0
4.610370000,-74.0566000,2962.0
4.610440000,-74.0567200,2956.0
4.610500000,-74.0567800,2951.0
4.610570000,-74.0568400,2946.0
4.610590000,-74.0568600,2945.0
4.610600000,-74.0568900,2943.0
4.610600000,-74.0569200,2942.0
4.610570000,-74.0569400,2942.0
4.610540000,-74.0569500,2943.0
4.610520000,-74.0569600,2943.0
4.610520000,-74.0569800,2942.0
4.610520000,-74.0570000,2941.0
4.610540000,-74.0570200,2940.0
4.610580000,-74.0570600,2937.0
4.610610000,-74.0570900,2935.0
4.610640000,-74.0571200,2932.0
4.610670000,-74.0571700,2929.0
4.610640000,-74.0572100,2929.0
4.610590000,-74.0572100,2931.0
4.610520000,-74.0572000,2933.0
4.610460000,-74.0571800,2934.0
4.610420000,-74.0571900,2934.0
4.610350000,-74.0572200,2932.0
4.610300000,-74.0572400,2931.0
4.610240000,-74.0572500,2931.0
4.610170000,-74.0572500,2932.0
4.610090000,-74.0572500,2932.0
4.610020000,-74.0572700,2932.0
4.609970000,-74.0573200,2928.0
4.609930000,-74.0573400,2926.0
4.609880000,-74.0573700,2924.0
4.609780000,-74.0573700,2924.0
4.609700000,-74.0573800,2923.0
4.609640000,-74.0574000,2922.0
4.609540000,-74.0574300,2921.0
4.609430000,-74.0574300,2922.0
4.609270000,-74.0574600,2923.0
4.609210000,-74.0574800,2924.0
4.609190000,-74.0575300,2923.0
4.609170000,-74.0575700,2923.0
4.609150000,-74.0576300,2922.0
4.609080000,-74.0577500,2921.0
4.609040000,-74.0578000,2919.0
4.608990000,-74.0579000,2914.0
4.608930000,-74.0579900,2910.0
4.608900000,-74.0580600,2907.0
4.608880000,-74.0581100,2907.0
4.608870000,-74.0581500,2907.0
4.608860000,-74.0582200,2907.0
4.608880000,-74.0582400,2906.0
4.608930000,-74.0583000,2904.0
4.608950000,-74.0583600,2902.0
4.608920000,-74.0584000,2901.0
4.608870000,-74.0584500,2901.0
4.608800000,-74.0585200,2900.0
4.608770000,-74.0585800,2899.0
4.608790000,-74.0587100,2888.0
4.608780000,-74.0587600,2883.0
4.608740000,-74.0587900,2881.0
4.608680000,-74.0588200,2880.0
4.608620000,-74.0588100,2883.0
4.608570000,-74.0588100,2883.0
4.608510000,-74.0588400,2881.0
4.608450000,-74.0588900,2876.0
4.608400000,-74.0589000,2876.0
4.608340000,-74.0589100,2876.0
4.608310000,-74.0589200,2874.0
4.608290000,-74.0589400,2873.0
4.608300000,-74.0589700,2871.0
4.608360000,-74.0590300,2866.0
4.608370000,-74.0590600,2863.0
4.608340000,-74.0590800,2862.0
4.608310000,-74.0590800,2862.0
4.608290000,-74.0590900,2861.0
4.608290000,-74.0591200,2859.0
4.608290000,-74.0591400,2857.0
4.608280000,-74.0591600,2856.0
4.608240000,-74.0591600,2855.0
4.608180000,-74.0591400,2856.0
4.608160000,-74.0591400,2855.0
4.608160000,-74.0591600,2854.0
4.608160000,-74.0591700,2853.0
4.608150000,-74.0591900,2852.0
4.608130000,-74.0592000,2852.0
4.608100000,-74.0591700,2853.0
4.608080000,-74.0591700,2852.0
4.608060000,-74.0591800,2852.0
4.608060000,-74.0592100,2850.0
4.608070000,-74.0592300,2849.0
4.608120000,-74.0592600,2848.0
4.608140000,-74.0592800,2847.0
4.608130000,-74.0593200,2845.0
4.608110000,-74.0593300,2844.0
4.608040000,-74.0593200,2844.0
4.608020000,-74.0593300,2842.0
4.608020000,-74.0593600,2841.0
4.608060000,-74.0594000,2840.0
4.608110000,-74.0594400,2838.0
4.608160000,-74.0594500,2838.0
4.608200000,-74.0594400,2838.0
4.608280000,-74.0594300,2839.0
4.608340000,-74.0594500,2838.0
4.608380000,-74.0594700,2837.0
4.608420000,-74.0594900,2836.0
4.608440000,-74.0595200,2835.0
4.608440000,-74.0595700,2832.0
4.608410000,-74.0596200,2830.0
4.608390000,-74.0596700,2827.0
4.608330000,-74.0597000,2826.0
4.608240000,-74.0597200,2825.0
4.608130000,-74.0597500,2823.0
4.607980000,-74.0597500,2821.0
4.607860000,-74.0597400,2819.0
4.607720000,-74.0596900,2816.0
4.607590000,-74.0596200,2813.0
4.607510000,-74.0595400,2813.0
4.607500000,-74.0594700,2815.0
4.607510000,-74.0593700,2820.0
4.607510000,-74.0593300,2822.0
4.607490000,-74.0593000,2822.0
4.607450000,-74.0592900,2822.0
4.607380000,-74.0593400,2816.0
4.607310000,-74.0594100,2809.0
4.607260000,-74.0594600,2805.0
4.607190000,-74.0595600,2799.0
4.607110000,-74.0596600,2794.0
4.607030000,-74.0597500,2789.0
4.607040000,-74.0598400,2786.0
4.607100000,-74.0598800,2786.0
4.607100000,-74.0599100,2785.0
4.607090000,-74.0599500,2783.0
4.607070000,-74.0600000,2781.0
4.607000000,-74.0600600,2777.0
4.606990000,-74.0601000,2775.0
4.606990000,-74.0601600,2773.0
4.607020000,-74.0602300,2771.0
4.607020000,-74.0602900,2769.0
4.607000000,-74.0603300,2768.0
4.606960000,-74.0603600,2766.0
4.606920000,-74.0603500,2766.0
4.606860000,-74.0603200,2766.0
4.606810000,-74.0603200,2765.0
4.606790000,-74.0603400,2765.0
4.606750000,-74.0603900,2763.0
4.606680000,-74.0604600,2761.0
4.606640000,-74.0604800,2760.0
4.606590000,-74.0604900,2759.0
4.606530000,-74.0605200,2758.0
4.606430000,-74.0605800,2755.0
4.606020000,-74.0608700,2748.0
4.605780000,-74.0611100,2740.0
4.605660000,-74.0612400,2735.0
4.605590000,-74.0613200,2732.0
4.605550000,-74.0613400,2730.0
4.605470000,-74.0613300,2729.0
4.605430000,-74.0613100,2728.0
4.605380000,-74.0612800,2728.0
4.605320000,-74.0612700,2727.0
4.605270000,-74.0612700,2725.0
4.605220000,-74.0612700,2725.0
4.605010000,-74.0613400,2721.0
4.604940000,-74.0613600,2718.0
4.604830000,-74.0613900,2713.0
4.604330000,-74.0613400,2702.0
4.604250000,-74.0613400,2701.0
4.604170000,-74.0613500,2699.0
4.603920000,-74.0614200,2693.0
4.603840000,-74.0614300,2691.0
4.603750000,-74.0614300,2689.0
4.603730000,-74.0614700,2689.0
